Date,Index,x,Diff,Fluctuations,Transaction_amount,Individual,Foreign,Agency,Financial_Investment,Insurance,Commit,Fund,Bank,Other_finance,Pension,National_municipality,Corp_etc,Foreign_etc,Open,High,Low,Close,Adj Close,Volume
2018/01/02,2479.65,6.0,12.16,0.0049,47863.0,-267.0,2657.0,-2762.0,-1847.0,149.0,-340.0,-404.0,-64.0,72.0,92.0,-418.0,395.0,-23.0,2474.860107421875,2481.02001953125,2465.93994140625,2479.64990234375,2479.64990234375,262200
2018/01/03,2486.35,6.0,6.7,0.0027,60196.0,-241.0,4006.0,-3980.0,-4629.0,271.0,471.0,-125.0,68.0,-21.0,201.0,-216.0,229.0,-13.0,2484.6298828125,2493.39990234375,2481.909912109375,2486.35009765625,2486.35009765625,331100
2018/01/04,2466.46,4.0,-19.89,-0.008,68962.0,442.0,3395.0,-3844.0,-3617.0,63.0,196.0,-48.0,-61.0,56.0,-133.0,-300.0,43.0,-36.0,2502.5,2502.5,2466.449951171875,2466.4599609375,2466.4599609375,333800
2018/01/05,2497.52,6.0,31.06,0.0126,63175.0,-3704.0,2465.0,1021.0,-1188.0,475.0,520.0,176.0,52.0,-7.0,512.0,480.0,225.0,-8.0,2476.85009765625,2497.52001953125,2475.510009765625,2497.52001953125,2497.52001953125,308800
2018/01/08,2513.28,6.0,15.76,0.0063,64048.0,-3511.0,3910.0,-873.0,-840.0,45.0,-481.0,706.0,-25.0,-89.0,-116.0,-70.0,476.0,-2.0,2510.699951171875,2515.3701171875,2494.179931640625,2513.280029296875,2513.280029296875,311400
2018/01/09,2510.23,4.0,-3.05,-0.0012,73455.0,-2605.0,436.0,2121.0,1186.0,-73.0,-338.0,377.0,33.0,16.0,487.0,431.0,46.0,1.0,2510.72998046875,2524.72998046875,2498.409912109375,2510.22998046875,2510.22998046875,374300
2018/01/10,2499.75,4.0,-10.48,-0.0042,85779.0,1302.0,-2803.0,993.0,1378.0,-515.0,26.0,-60.0,-41.0,163.0,-223.0,265.0,492.0,14.0,2516.330078125,2516.820068359375,2493.97998046875,2499.75,2499.75,444000
2018/01/11,2487.91,4.0,-11.84,-0.0047,77893.0,3169.0,1742.0,-5447.0,-3106.0,549.0,-562.0,-21.0,-109.0,-1036.0,-632.0,-527.0,522.0,13.0,2496.860107421875,2502.52001953125,2483.820068359375,2487.909912109375,2487.909912109375,444300
2018/01/12,2496.42,6.0,8.51,0.0034,87721.0,-871.0,-1178.0,1643.0,958.0,-139.0,465.0,98.0,-74.0,-50.0,175.0,209.0,403.0,2.0,2499.8701171875,2500.8701171875,2482.14990234375,2496.419921875,2496.419921875,438800
2018/01/15,2503.73,6.0,7.31,0.0029,61186.0,-698.0,243.0,145.0,66.0,12.0,301.0,177.0,-26.0,129.0,-733.0,218.0,308.0,0.0,2510.969970703125,2513.300048828125,2496.179931640625,2503.72998046875,2503.72998046875,404600
2018/01/16,2521.74,6.0,18.01,0.0072,69136.0,-2777.0,2798.0,-248.0,-42.0,101.0,-38.0,572.0,-124.0,45.0,-355.0,-407.0,257.0,-30.0,2504.159912109375,2524.550048828125,2498.550048828125,2521.739990234375,2521.739990234375,341600
2018/01/17,2515.43,4.0,-6.31,-0.0025,63257.0,1733.0,657.0,-2882.0,-555.0,-178.0,-698.0,-1239.0,-67.0,10.0,-42.0,-110.0,469.0,22.0,2517.18994140625,2521.969970703125,2506.489990234375,2515.429931640625,2515.429931640625,336700
2018/01/18,2515.81,6.0,0.38,0.0002,64476.0,915.0,933.0,-2234.0,-1325.0,-68.0,263.0,-452.0,61.0,19.0,-256.0,-475.0,369.0,15.0,2527.669921875,2532.080078125,2512.68994140625,2515.81005859375,2515.81005859375,333100
2018/01/19,2520.26,6.0,4.45,0.0018,62630.0,-91.0,-808.0,414.0,-361.0,28.0,392.0,-160.0,9.0,-19.0,-84.0,610.0,490.0,-5.0,2519.669921875,2524.330078125,2513.090087890625,2520.260009765625,2520.260009765625,351800
2018/01/22,2502.11,4.0,-18.15,-0.0072,63853.0,2471.0,-1765.0,-735.0,-1124.0,-71.0,836.0,-375.0,-139.0,16.0,507.0,-383.0,25.0,3.0,2516.89990234375,2517.1201171875,2488.43994140625,2502.110107421875,2502.110107421875,343000
2018/01/23,2536.6,6.0,34.49,0.0138,68384.0,-5925.0,2162.0,3405.0,2564.0,136.0,372.0,307.0,75.0,63.0,-771.0,656.0,360.0,-2.0,2510.35009765625,2536.60009765625,2507.9599609375,2536.60009765625,2536.60009765625,370000
2018/01/24,2538.0,6.0,1.4,0.0006,67647.0,-2813.0,-142.0,2443.0,3594.0,-304.0,193.0,-646.0,-81.0,-56.0,-706.0,449.0,530.0,-17.0,2533.860107421875,2547.219970703125,2531.31005859375,2538.0,2538.0,371100
2018/01/25,2562.23,6.0,24.23,0.0095,78675.0,-7154.0,3772.0,2999.0,3238.0,48.0,-885.0,196.0,-32.0,-12.0,-52.0,499.0,401.0,-18.0,2536.9599609375,2564.429931640625,2536.72998046875,2562.22998046875,2562.22998046875,514600
2018/01/26,2574.76,6.0,12.53,0.0049,76735.0,-3852.0,1831.0,1168.0,1832.0,1219.0,-1126.0,-239.0,-203.0,-56.0,-121.0,-136.0,876.0,-23.0,2560.68994140625,2574.760009765625,2553.530029296875,2574.760009765625,2574.760009765625,400600
2018/01/29,2598.19,6.0,23.43,0.0091,79081.0,-7116.0,3246.0,3613.0,1207.0,1484.0,349.0,335.0,39.0,-73.0,496.0,-226.0,276.0,-20.0,2588.8701171875,2607.10009765625,2587.550048828125,2598.18994140625,2598.18994140625,437500
2018/01/30,2567.74,4.0,-30.45,-0.0117,78779.0,2533.0,-1174.0,-1432.0,-828.0,-1.0,759.0,-817.0,-21.0,-57.0,43.0,-509.0,121.0,-47.0,2590.409912109375,2599.169921875,2567.070068359375,2567.739990234375,2567.739990234375,397000
