Date,Index,x,Diff,Fluctuations,Transaction_amount,Individual,Foreign,Agency,Financial_Investment,Insurance,Commit,Fund,Bank,Other_finance,Pension,National_municipality,Corp_etc,Foreign_etc
2022/02/09,2768.85,6,22.38,0.0081,101578,-4587,2346,1966,1959,1,-149,1,22,-14,145,0,233,40
2022/02/08,2746.47,6,1.41,0.0005,117858,455,-938,393,647,-190,-156,-219,31,39,241,0,111,-22
2022/02/07,2745.06,4,-5.2,-0.0019,112919,8108,-69,-8324,-7516,186,234,-441,5,-14,-779,0,284,0
2022/02/04,2750.26,6,42.44,0.0157,113932,-4148,1944,2143,-1396,227,643,814,66,-30,1818,0,101,-41
2022/02/03,2707.82,6,44.48,0.0167,124725,-1339,838,496,-1091,224,403,-467,80,11,1336,0,4,0
2022/01/28,2663.34,6,48.85,0.0187,137530,2735,-7066,3923,549,781,927,916,44,-2,706,0,351,56
2022/01/27,2614.49,4,-94.75,-0.035,205488,-1393,-17141,18477,1032,1516,2003,1778,0,-84,12230,0,-28,86
2022/01/26,2709.24,4,-11.15,-0.0041,89787,2217,-2425,-157,2578,-865,-233,-31,20,-22,-1603,0,357,7
2022/01/25,2720.39,4,-71.61,-0.0256,117009,5733,-4410,-1680,-241,-10,-72,116,8,-23,-1457,0,257,100
2022/01/24,2792,4,-42.29,-0.0149,93044,-1376,-4356,5935,7810,-819,-144,-353,17,-20,-555,0,-197,-5
2022/01/21,2834.29,4,-28.39,-0.0099,107181,8957,-2225,-6434,-1955,-580,-470,-1468,18,2,-1981,0,-318,20
2022/01/20,2862.68,6,20.4,0.0072,88720,1461,-2783,1091,2906,21,-199,-605,-15,4,-1020,0,221,9
2022/01/19,2842.28,4,-21.96,-0.0077,96490,-293,343,-119,1539,-73,-274,108,-228,1,-1192,0,66,2
2022/01/18,2864.24,4,-25.86,-0.0089,100409,1999,133,-2274,-332,-257,-587,-672,-39,-4,-380,0,117,23
2022/01/17,2890.1,4,-31.82,-0.0109,103965,4814,-2526,1781,292,-498,-794,-819,4348,10,-757,0,292,-4361
2022/01/14,2921.92,4,-40.17,-0.0136,107997,8069,-2456,-5953,-4965,-292,-342,-101,0,-106,-144,0,335,5
2022/01/13,2962.09,4,-10.39,-0.0035,114589,-934,3734,-3031,-1787,-303,92,721,3,-10,-1747,0,268,-38
2022/01/12,2972.48,6,45.1,0.0154,108953,-10728,4579,6055,5953,-323,161,4,-92,29,323,0,122,-28
2022/01/11,2927.38,6,0.66,0.0002,106465,-2189,4820,-2619,-1136,-450,329,-375,-34,-11,-940,0,-19,7
2022/01/10,2926.72,4,-28.17,-0.0095,103978,5728,-879,-4999,-2872,-1,-168,-592,-14,-6,-1342,0,90,59
2022/01/07,2954.89,6,34.36,0.0118,105824,-2441,6547,-3357,-3834,59,439,593,-12,1,-603,0,-755,6
2022/01/06,2920.53,4,-33.44,-0.0113,132971,2847,1793,-4854,-3621,-393,954,-146,-294,62,-1415,0,195,17
2022/01/05,2953.97,4,-35.27,-0.0118,154284,6983,6203,-13221,-10545,-569,121,-1449,0,15,-794,0,63,-27
2022/01/04,2989.24,6,0.47,0.0002,99914,6457,883,-7453,-7639,-78,448,-67,25,16,-157,0,92,20
2022/01/03,2988.77,6,11.12,0.0037,81938,5229,2615,-8110,-6744,-259,164,-870,-13,-10,-375,0,226,38
2021/12/30,2977.65,4,-15.64,-0.0052,87274,9536,-2184,-7605,-9288,101,1111,959,-21,0,-468,0,206,46
2021/12/29,2993.29,4,-26.95,-0.0089,109086,18519,-1278,-17360,-14941,-806,287,-618,-313,-85,-881,0,64,55
2021/12/28,3020.24,6,20.69,0.0069,120968,-19975,4527,15188,14541,711,48,326,-56,-343,-38,0,298,-38
2021/12/27,2999.55,4,-12.88,-0.0043,82803,-5442,516,4362,4100,191,-80,412,20,-158,-123,0,594,-29
2021/12/24,3012.43,6,14.26,0.0048,85834,-11324,1950,9161,8088,-29,106,1044,-7,-239,199,0,268,-56
